Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
California Towhee,Melozone crissalis,CALT,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,om_10,,,,"33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66",Non-Breeding,,,
Calliope Hummingbird,Selasphorus calliope,CAHU,Wd,F-W,335,1,two-season,2,Western.Forests,background_dec,mo,"21,22,24,25,26,27,28,29,30,31,37",,"20,21,25,26,27,31,37","22,24,28",Non-Breeding,,,
Canada Goose,Branta canadensis,CANG,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,custom,,,,,Non-Breeding,,,
Canada Jay,Perisoreus canadensis,CAJA,Wd,F-B,1,366,resident,2,Boreal.Forests,background_jan_dec,mk,,,,,Non-Breeding,,,
Canvasback,Aythya valisineria,CANV,Wet,M,1,60,two-season,2,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Canyon Towhee,Melozone fusca,CANT,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,mo,"32, 41","9, 10, 11, 15, 17, 22",,"32, 40, 42, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61",Non-Breeding,,,
Canyon Wren,Catherpes mexicanus,CANW,Var,D,1,366,resident,2,Aridlands,background_jan_dec,tss,,,,,Non-Breeding,,,
Cape May Warbler,Setophaga tigrina,CMWA,Wd,F-B,1,60,two-season,5,Boreal.Forests,background_jan_feb,mk,"7,8,100",,,,Non-Breeding,,,
Carolina Chickadee,Poecile carolinensis,CACH,Wd,F-E,1,366,resident,2,Eastern.Forests,background_jan_dec,tss,"13,23","11,17,18,36",,"32,34,35,,43,45,46,47,48,49,50,51,52,53,54,60",Non-Breeding,,,
Carolina Wren,Thryothorus ludovicianus,CARW,Wd,F-E,1,366,resident,2,Eastern.Forests,background_jan_dec,custom,8,"6,7,10,11,45,46,47,48,49,52",,"5,9,10,32,33,34,35,38,42,43,44,45,46,47,50,51,53,54,58,59,60,61",Non-Breeding,,,
Caspian Tern,Hydroprogne caspia,CATE,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,tss,,,,,Non-Breeding,,,
Cassin's Auklet,Ptychoramphus aleuticus,CAAU,Wet,C,1,366,resident,2,Coastal,background_jan_dec,custom,,,,"7,8,3,14,7,8",Non-Breeding,,,
Cassin's Finch,Haemorhous cassinii,CAFI,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Cassin's Kingbird,Tyrannus vociferans,CAKI,Wd,"D,F-W",1,60,two-season,8,Aridlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Cassin's Sparrow,Peucaea cassinii,CASP,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,"32,15",Non-Breeding,,,
Cassin's Vireo,Vireo cassinii,CAVI,Wd,"F-E,F-B,F-W",1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Cattle Egret,Bubulcus ibis,CAEG,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,tss,,,,,Non-Breeding,,,
Cave Swallow,Petrochelidon fulva,CASW,Var,D,335,1,two-season,6,Aridlands,background_dec,mo,30,24,"32, 33, 40","43, 44, 45",Non-Breeding,,,
Cedar Waxwing,Bombycilla cedrorum,CEDW,Wd,"F-E,F-W",1,60,two-season,2,Generalists,background_jan_feb,om_10,"4,8,6",,,,Non-Breeding,,,
Chestnut-backed Chickadee,Poecile rufescens,CBCH,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,mk,,,,"34,35,36,39,42,43,45,46,47,48,50,54",Non-Breeding,,,
Chestnut-collared Longspur,Calcarius ornatus,CCLO,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Chestnut-sided Warbler,Setophaga pensylvanica,CSWA,Sh,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,custom,"3,8,12,13,100,33,32,7",,"31,37,27","55,56,57",Non-Breeding,,,
Chihuahuan Raven,Corvus cryptoleucus,CHRA,Sh,D,1,60,two-season,2,Aridlands,background_jan_feb,mo,,,,,Non-Breeding,,,
Chipping Sparrow,Spizella passerina,CHSP,Wd,"F-W,F-E,F-B",1,60,two-season,2,Generalists,background_jan_feb,om_10,"0,17,10,6,8,5,9,12,14,13,22,23,11,16,18,19,30",,,,Non-Breeding,,,
Chuck-will's-widow,Antrostomus carolinensis,CWWI,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,"6,8,11,12,18","6,8,10,11,48,49,52",,,Non-Breeding,,,
Chukar,Alectoris chukar,CHUK,Gr,"D,G",1,366,resident,13,Aridlands,background_jan_dec,mk,,,,,Non-Breeding,,,
Cinnamon Teal,Anas cyanoptera,CITE,Wet,"M,G",1,60,two-season,4,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Clapper Rail,Rallus longirostris,CLRA,Wet,"C,M",1,152,two-season,2,Coastal,background_jan_feb,custom,"32,29,33",56,"7,8,1,2,3,58,66","38,44,45,50,1,2,5",Non-Breeding,,,
Clark's Grebe,Aechmophorus clarkii,CLGR,Wet,M,1,60,two-season,2,Marshlands,background_jan_feb,eq,"9, 15, 16, 18",,"25, 26, 27, 28, 29, 30, 31, 37",,Non-Breeding,,,
Clark's Nutcracker,Nucifraga columbiana,CLNU,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,eq,,,,"1,2,3",Non-Breeding,,,
Clay-colored Sparrow,Spizella pallida,CCSP,Sh,G,335,32,two-season,5,Grasslands,background_jan_feb,tss,,,,"5,11,12,13,14,22,23,24,26,27,28,29,30,31,32,39,40,42,100",Non-Breeding,,,
